municipio_codigo,nome_municipio,uf,semana_epidemiologica,temperatura_media_c,temperatura_max_c,umidade_relativa_pct,precipitacao_acumulada_mm,ndvi_medio,cobertura_agua_pct,altitude_media_m,populacao_exposta,densidade_demografica,indice_saneamento_pct,casos_semana_anterior,precip_tendencia,temp_tendencia,nivel_risco
MUN_200,Araguaína,RS,2,26.28,31.92,75.62,63.35,0.261,6.22,896.2,254214,158.2,85.2,29.55,46.98,25.25,Baixo
MUN_024,Ribeirão Preto,AM,32,27.1,30.83,66.32,26.02,0.091,0.0,777.6,749783,497.4,57.1,80.13,25.91,30.27,Medio
MUN_100,Uberlândia,SC,9,26.01,30.72,63.18,71.93,0.242,5.02,801.2,1089400,450.4,37.3,76.29,72.56,26.55,Alto
MUN_019,Caxias do Sul,BA,7,24.39,31.93,56.66,15.92,0.195,5.09,124.0,102410,204.1,80.6,19.92,28.08,26.03,Medio
MUN_140,Palmas,AM,25,20.01,26.22,54.75,24.05,0.066,0.51,1021.2,2685017,61.4,81.6,17.19,17.86,19.45,Baixo
MUN_093,Palmas,TO,51,25.09,29.14,84.11,57.26,0.252,4.58,600.6,2109984,407.4,59.3,63.92,55.19,25.16,Medio
MUN_171,Belém,RN,1,20.82,26.05,70.28,79.88,0.319,6.35,91.4,1817782,377.8,52.3,86.09,74.12,24.55,Alto
MUN_024,Santos,SC,11,30.11,35.52,52.39,65.58,0.371,7.5,241.2,2817799,462.3,62.0,68.71,71.42,30.59,Alto
MUN_198,Salvador,PA,27,23.71,29.4,86.25,119.22,0.395,5.91,1157.7,2429413,187.0,86.8,36.49,126.29,24.34,Baixo
MUN_128,Campinas,SC,36,25.42,30.55,64.19,23.72,0.284,1.64,969.8,1002544,478.2,65.2,77.89,19.6,26.66,Medio
MUN_065,Santos,GO,7,30.14,35.32,49.47,16.39,0.254,1.91,706.5,719240,143.4,86.6,1.3,0.42,30.2,Baixo
MUN_163,Natal,PA,40,24.2,27.38,58.25,39.45,0.222,3.05,600.0,1731891,24.8,100.0,8.31,45.23,22.63,Baixo
MUN_175,Manaus,PR,43,25.32,30.42,55.27,21.72,0.211,3.57,545.3,2319057,152.5,70.8,38.37,18.15,24.92,Baixo
MUN_090,Manaus,TO,34,24.3,29.2,74.12,39.14,0.284,2.39,25.6,2772429,452.5,58.5,60.39,50.02,25.22,Medio
MUN_153,Montes Claros,PE,22,26.81,30.43,68.18,62.79,0.381,7.15,339.6,2670890,480.1,55.5,67.72,54.38,23.88,Alto
MUN_173,Santos,RN,17,26.37,33.14,80.49,90.65,0.415,2.39,1185.1,2935983,97.2,80.6,19.6,91.82,27.51,Baixo
MUN_166,Campinas,RS,15,22.16,26.97,60.81,35.73,0.178,2.47,849.1,2947355,95.1,81.0,31.24,46.52,22.87,Baixo
MUN_016,Campinas,TO,12,25.21,28.97,66.11,81.33,0.401,3.81,594.4,2916483,103.0,89.6,0.0,71.17,26.23,Baixo
MUN_027,Uberlândia,TO,24,26.19,30.34,73.84,66.48,0.264,6.64,281.0,2672857,256.0,69.7,38.99,48.19,27.37,Medio
MUN_059,Curitiba,GO,24,27.15,30.84,60.31,40.68,0.333,6.24,807.8,76299,329.6,66.5,57.33,48.64,26.38,Alto
MUN_161,Macaé,RJ,27,29.31,34.45,75.29,46.39,0.238,4.35,305.8,1832904,468.4,59.0,76.02,38.8,31.55,Alto
MUN_057,Araguaína,PA,52,23.65,28.23,83.11,118.45,0.446,9.62,367.6,1070749,113.0,92.4,29.12,129.26,25.9,Medio
MUN_014,Curitiba,GO,23,19.87,25.29,56.82,29.2,0.408,0.0,87.0,823413,477.5,61.8,59.17,33.77,22.94,Medio
MUN_140,Manaus,RN,51,26.53,33.63,56.67,59.16,0.316,4.03,515.7,2432973,390.8,67.4,68.05,59.2,26.16,Alto
MUN_105,Itaquaquecetuba,PR,33,24.67,29.56,85.09,55.93,0.182,5.53,910.8,2916094,487.8,46.5,112.06,41.98,26.23,Alto
MUN_090,Natal,PE,27,24.39,28.64,68.57,57.07,0.5,2.39,990.1,1763357,191.0,90.8,20.53,60.93,22.03,Baixo
MUN_094,Manaus,RJ,43,18.54,24.48,65.29,7.9,0.324,3.49,188.5,446756,418.7,53.6,69.92,7.48,15.63,Alto
MUN_047,Sorocaba,GO,4,26.48,30.82,69.63,56.77,0.125,3.51,588.7,1875482,263.3,70.5,46.73,58.41,27.63,Medio
MUN_186,Santos,PR,38,18.3,24.29,77.43,51.53,0.218,2.59,200.7,264745,377.1,62.6,69.89,54.83,15.47,Alto
MUN_039,Montes Claros,MG,20,28.22,34.43,95.86,97.3,0.49,3.16,145.3,1760675,147.0,93.5,26.41,77.17,29.15,Medio
MUN_135,Ribeirão Preto,RS,47,22.3,24.78,67.59,14.41,0.237,0.0,149.0,861743,43.1,85.1,32.64,20.43,25.24,Baixo
MUN_092,Fortaleza,RS,10,29.31,34.4,73.33,57.44,0.327,3.2,554.2,2098470,337.2,67.6,49.25,65.7,34.62,Medio
MUN_178,Ribeirão Preto,SP,46,26.34,31.19,69.81,36.47,0.313,2.04,13.6,418951,349.0,67.3,48.9,7.02,26.89,Medio
MUN_171,Campinas,CE,46,25.56,31.44,64.48,30.01,0.259,4.56,401.3,867891,487.9,66.8,75.12,39.83,28.62,Alto
MUN_025,Salvador,GO,36,26.27,31.71,80.23,73.1,0.346,8.92,574.3,2782351,86.7,76.1,30.39,54.96,24.82,Baixo
MUN_178,Crato,GO,24,28.44,32.06,66.56,57.99,0.295,4.79,982.8,2671702,45.9,83.4,42.04,70.39,28.46,Baixo
MUN_150,Crato,AM,11,27.47,36.06,71.83,63.41,0.285,9.26,480.6,1505800,377.6,84.7,48.38,48.53,28.68,Alto
MUN_056,Natal,RN,16,28.74,34.67,67.2,87.29,0.426,2.89,265.4,843554,325.4,71.9,60.58,70.29,28.25,Medio
MUN_003,Caxias do Sul,PA,31,26.58,31.26,90.67,130.33,0.386,7.93,501.9,2605070,378.1,73.3,66.63,138.61,30.1,Alto
MUN_042,Curitiba,GO,46,24.81,28.26,70.24,113.67,0.264,7.27,923.8,2338130,303.7,57.0,57.27,124.82,26.21,Alto
MUN_100,Belém,GO,34,23.11,30.45,80.28,57.95,0.374,5.29,316.4,1497392,454.2,58.6,63.36,42.6,22.32,Medio
MUN_009,Araguaína,CE,52,31.41,38.86,62.32,80.18,0.224,5.44,67.9,835767,336.7,64.4,43.32,81.87,29.07,Medio
MUN_022,Uberlândia,SC,25,22.64,27.94,54.79,97.29,0.592,8.12,987.3,1444173,338.4,62.6,61.95,102.23,20.86,Alto
MUN_164,Santos,SP,50,24.9,28.97,68.15,85.85,0.35,5.86,949.7,646795,488.9,39.4,61.41,90.0,24.18,Medio
MUN_138,Goiânia,PE,4,20.77,26.14,65.45,48.98,0.386,3.95,10.6,645194,372.0,53.7,68.65,47.44,23.45,Alto
MUN_082,Manaus,MG,52,26.75,31.96,64.32,43.45,0.212,7.15,524.2,2273390,438.1,52.5,84.96,38.79,28.17,Medio
MUN_053,Caxias do Sul,MG,52,19.46,27.66,63.14,61.67,0.332,5.32,86.0,332310,422.3,59.5,50.22,59.4,21.97,Medio
MUN_004,Palmas,RS,8,24.62,30.53,63.04,55.26,0.34,3.69,215.8,2448753,228.0,58.6,34.61,31.43,28.64,Alto
MUN_157,Palmas,SP,2,25.14,32.01,55.89,8.34,0.138,4.4,920.4,259319,59.6,85.3,43.05,7.86,28.86,Baixo
MUN_033,Curitiba,RN,8,21.61,26.45,53.26,56.12,0.355,8.02,162.3,2691097,273.8,74.4,38.48,41.13,18.76,Medio
MUN_096,Manaus,SC,14,26.54,31.29,48.78,37.13,0.34,4.39,1085.5,2764181,126.8,75.3,30.06,34.53,27.62,Baixo
MUN_114,Araguaína,PR,34,28.85,32.42,70.9,40.69,0.257,0.16,828.5,157594,67.2,73.4,31.52,44.56,26.72,Baixo
MUN_159,Sorocaba,CE,34,23.21,26.97,69.72,88.96,0.382,1.96,518.0,1222954,430.1,67.4,81.19,86.44,21.74,Medio
MUN_188,Curitiba,RN,5,28.47,31.84,55.67,27.95,0.33,2.29,482.6,1862321,280.8,82.7,32.86,33.81,28.99,Medio
MUN_061,Itaquaquecetuba,RJ,44,29.5,34.67,58.61,42.88,0.228,5.37,927.2,968224,123.5,69.5,33.78,56.6,27.41,Baixo
MUN_127,Crato,SC,10,25.93,32.1,83.3,88.75,0.422,4.86,980.3,1954649,439.8,52.5,70.14,101.99,21.03,Alto
MUN_103,Manaus,SP,37,21.68,25.62,59.27,30.64,0.225,0.0,799.5,2095764,370.3,62.6,30.96,55.6,25.61,Baixo
MUN_131,Caxias do Sul,BA,10,22.73,28.36,70.04,84.45,0.24,6.98,713.5,605766,444.1,50.0,61.98,98.82,19.21,Alto
MUN_074,Campinas,RJ,33,20.39,26.13,59.64,26.87,0.154,4.14,62.5,311829,66.4,89.8,14.8,19.29,16.97,Medio
MUN_035,Natal,GO,15,24.24,30.74,65.47,112.91,0.414,6.91,206.2,2767665,432.9,61.5,88.68,107.13,23.65,Alto
MUN_162,Ribeirão Preto,PE,22,27.4,30.56,78.2,48.66,0.129,5.6,765.3,681931,446.6,56.9,75.04,40.33,30.33,Alto
MUN_156,Campinas,BA,41,29.29,33.12,57.84,50.4,0.226,5.83,662.4,2155799,248.3,73.2,34.51,51.51,29.56,Baixo
MUN_159,Belém,PA,18,24.38,28.96,65.77,67.11,0.353,4.71,423.8,910876,407.4,74.0,49.06,60.3,22.57,Medio
MUN_162,Araguaína,AM,23,26.97,31.83,74.77,115.16,0.454,7.34,947.1,2532136,190.5,71.8,59.75,118.4,28.12,Baixo
MUN_149,Goiânia,BA,1,26.41,31.9,61.34,12.6,0.157,2.44,448.8,1808386,315.4,47.1,66.91,22.75,30.85,Alto
MUN_079,Ribeirão Preto,AM,19,28.72,31.84,53.43,31.28,0.169,6.15,890.8,401826,267.5,55.5,46.41,32.49,26.64,Baixo
MUN_163,Recife,MG,4,21.03,25.08,69.14,53.86,0.096,5.23,38.9,1673959,475.0,56.5,70.55,36.56,20.12,Medio
MUN_085,Campinas,CE,50,27.33,31.75,55.86,36.5,0.209,0.9,452.0,1178162,332.5,61.5,27.89,40.7,29.04,Medio
MUN_192,Santos,RS,15,22.7,27.97,54.51,31.38,0.289,4.0,185.0,2558628,412.7,93.7,40.08,31.56,22.58,Alto
MUN_190,Santos,PA,16,27.77,31.45,58.57,29.2,0.263,5.56,392.6,909189,22.9,83.4,18.38,29.51,30.12,Baixo
MUN_188,Campinas,SP,32,26.45,31.9,53.12,8.13,0.218,0.34,732.8,2991985,377.2,51.2,47.39,7.4,24.63,Medio
MUN_049,Belém,BA,19,27.64,32.24,72.82,48.37,0.218,2.53,467.4,1325200,145.5,77.7,21.52,47.86,30.02,Medio
MUN_173,Caxias do Sul,PR,45,22.04,27.89,61.82,48.03,0.245,3.22,530.2,2494839,398.8,78.4,55.37,41.69,23.95,Alto
MUN_097,Belém,PE,32,26.68,31.45,74.96,110.45,0.343,9.92,255.5,330481,381.7,79.3,66.12,98.83,27.27,Alto
MUN_161,Santos,RS,31,25.58,29.63,56.44,80.28,0.411,1.04,198.3,322150,178.4,78.4,29.85,72.07,26.15,Alto
MUN_159,Palmas,PA,26,26.01,32.48,72.46,74.48,0.278,4.32,157.8,2925616,286.1,63.1,42.0,93.2,22.39,Medio
MUN_115,Goiânia,MG,32,19.82,23.95,63.38,23.37,0.332,4.11,323.7,2303997,191.9,70.3,51.24,24.96,21.2,Medio
MUN_068,Palmas,PR,13,27.04,33.35,47.35,40.9,0.376,3.68,701.8,2325285,319.4,71.0,35.95,35.94,29.22,Baixo
MUN_107,Fortaleza,PR,42,28.23,34.22,59.58,73.84,0.153,4.35,894.0,747046,415.9,60.2,71.03,52.34,27.64,Alto
MUN_051,Caxias do Sul,AM,17,30.46,34.27,75.71,64.09,0.329,5.28,58.4,1121651,459.6,50.7,62.7,58.14,26.53,Medio
MUN_154,Palmas,RN,2,25.85,30.31,56.98,35.64,0.396,4.88,303.6,1796945,499.8,54.5,55.65,41.35,27.58,Medio
MUN_089,Sorocaba,BA,22,21.99,28.94,59.76,59.9,0.328,6.45,295.9,189576,328.7,56.5,64.22,64.63,23.29,Alto
MUN_110,Araguaína,RN,13,25.45,31.44,83.35,100.73,0.244,6.84,176.2,478193,461.2,43.9,102.79,114.49,22.84,Alto
MUN_134,Natal,BA,26,24.77,30.18,59.6,13.76,0.294,2.3,849.7,191588,464.6,54.6,82.16,3.62,22.86,Alto
MUN_127,Araguaína,PA,20,27.27,32.54,74.75,85.89,0.336,7.86,1139.0,2250100,344.9,54.1,73.87,87.39,28.04,Baixo
MUN_061,Araguaína,MG,10,27.31,33.1,59.1,39.25,0.237,1.7,323.2,1907851,285.1,66.5,51.58,32.64,26.09,Medio
MUN_116,Uberlândia,BA,23,26.89,32.16,60.19,28.63,0.172,3.94,77.6,2358981,140.1,81.2,24.06,16.96,25.22,Alto
MUN_114,Belém,PR,13,26.36,33.01,62.23,11.2,0.264,2.49,24.1,393984,321.8,71.9,49.91,21.14,26.81,Medio
MUN_027,Belém,RN,11,25.57,30.23,68.15,99.31,0.511,8.0,908.1,316824,278.0,82.0,43.66,93.74,27.88,Baixo
MUN_013,Crato,BA,49,26.87,33.91,73.89,36.66,0.148,0.7,1137.1,823744,280.6,63.7,45.75,43.21,26.08,Baixo
MUN_004,Crato,BA,39,22.44,27.71,70.89,35.93,0.287,3.76,670.8,350056,417.3,61.9,68.1,26.8,25.13,Medio
MUN_104,Uberlândia,SC,24,24.06,29.23,77.93,31.82,0.172,5.14,394.3,1258715,468.1,67.9,71.04,27.13,24.37,Alto
MUN_028,Campinas,RN,30,25.58,31.22,50.36,48.48,0.293,5.19,117.8,620299,134.6,71.7,28.44,61.75,25.51,Medio
MUN_138,Ribeirão Preto,SC,46,28.28,32.24,55.49,35.78,0.302,5.56,492.5,2496753,50.8,84.5,16.41,42.0,27.02,Baixo
MUN_044,Fortaleza,CE,21,33.32,36.56,93.59,84.13,0.414,6.59,752.1,1509210,457.4,64.6,49.63,89.11,33.06,Medio
MUN_092,Fortaleza,RS,10,29.31,34.4,73.33,57.44,0.327,3.2,554.2,2098470,337.2,67.6,49.25,65.7,34.62,Medio
MUN_027,Sorocaba,CE,5,26.49,32.58,59.24,37.95,0.219,2.92,1060.8,2892122,220.1,66.7,44.56,31.11,22.68,Baixo
MUN_150,Uberlândia,PE,24,26.95,31.5,68.53,72.22,0.422,7.33,222.0,410662,219.8,71.7,42.78,67.61,22.2,Alto
MUN_142,Campinas,RJ,30,25.48,29.44,68.17,27.92,0.244,1.94,324.2,1880961,188.7,87.4,25.79,35.81,25.22,Baixo
MUN_045,Curitiba,AM,4,28.17,34.96,62.29,53.41,0.311,3.87,63.4,1789320,422.5,49.3,68.36,48.85,28.15,Medio
MUN_159,Goiânia,BA,45,28.5,33.35,66.75,46.67,0.314,4.95,84.5,1423994,37.8,89.8,18.86,46.75,26.58,Medio
MUN_082,Uberlândia,SP,50,24.37,30.25,79.68,86.83,0.315,2.58,1.3,2653805,451.9,59.2,80.57,81.0,24.03,Medio
MUN_160,Macaé,BA,2,23.39,28.78,61.95,28.91,0.253,1.71,139.3,687044,180.9,71.6,49.25,47.68,21.07,Alto
MUN_123,Manaus,SC,51,26.59,32.63,53.42,54.29,0.271,5.75,798.6,180953,77.8,74.2,39.44,64.31,26.81,Baixo
MUN_029,Sorocaba,PA,52,25.86,31.02,67.65,17.0,0.198,0.74,297.9,2442960,103.8,75.8,36.39,17.99,22.93,Medio
MUN_043,Fortaleza,SC,28,30.42,35.58,66.35,48.52,0.268,6.31,268.3,2185007,497.6,51.6,55.42,52.53,30.96,Medio
MUN_137,Recife,SP,18,36.12,39.74,68.05,38.4,0.335,2.95,224.4,843908,165.8,85.8,36.93,43.01,36.32,Medio
MUN_180,Recife,SP,4,24.86,27.82,81.01,67.28,0.39,8.47,933.5,1806037,35.6,78.3,31.68,70.47,27.57,Baixo
MUN_047,Araguaína,SP,21,24.47,28.2,64.15,26.43,0.14,0.0,1007.3,1389391,270.9,70.9,52.0,43.85,27.66,Baixo
MUN_078,Fortaleza,RS,45,22.84,27.42,69.5,124.38,0.312,4.09,1079.3,2143072,390.3,55.8,72.18,131.25,24.64,Alto
MUN_097,Crato,RN,49,21.21,26.73,50.65,28.26,0.187,0.0,251.8,2183697,290.5,67.2,45.33,22.91,23.56,Alto
MUN_059,Araguaína,AM,4,30.37,36.8,59.43,20.1,0.174,2.26,1178.8,2321319,141.7,87.0,28.34,19.84,30.77,Baixo
MUN_012,Santos,GO,49,22.08,27.41,62.64,98.36,0.323,6.84,920.1,450821,318.2,85.8,27.81,123.02,22.64,Baixo
MUN_017,Santos,PR,43,23.0,26.27,54.42,24.2,0.351,2.97,127.5,2254656,50.4,96.5,34.01,37.69,22.64,Baixo
MUN_042,Itaquaquecetuba,SP,39,21.91,27.97,94.65,139.22,0.282,11.54,254.1,1596558,85.3,84.1,36.5,133.07,23.09,Medio
MUN_139,Araguaína,CE,12,28.55,35.04,75.18,65.28,0.443,4.49,750.7,2989815,101.7,67.2,39.22,77.44,25.61,Baixo
MUN_196,Belém,SC,47,21.18,28.35,66.96,56.36,0.435,5.86,620.9,2873561,387.3,71.1,60.27,54.66,20.1,Medio
MUN_004,Palmas,RS,8,24.62,30.53,63.04,55.26,0.34,3.69,215.8,2448753,228.0,58.6,34.61,31.43,28.64,Alto
MUN_141,Santos,RS,24,27.68,32.9,57.51,49.17,0.466,2.69,922.8,1302380,345.3,66.8,49.33,43.65,27.14,Baixo
MUN_192,Natal,GO,32,23.02,26.36,83.88,209.05,0.706,12.73,107.3,151637,186.3,82.0,39.17,201.79,20.86,Medio
MUN_151,Uberlândia,SC,41,18.63,19.43,80.27,131.35,0.466,4.68,244.9,819652,100.2,85.8,31.26,116.49,20.12,Medio
MUN_100,Crato,PA,11,19.8,24.33,47.3,41.62,0.311,0.82,426.6,1957406,421.6,66.0,55.07,27.66,16.38,Alto
MUN_057,Caxias do Sul,AM,45,28.91,34.49,65.37,99.37,0.347,9.24,349.9,2212679,238.6,61.9,59.29,97.11,30.58,Medio
MUN_179,Palmas,SP,48,25.4,32.18,64.08,64.38,0.34,6.1,386.7,417190,393.0,64.1,75.48,67.57,22.48,Alto
MUN_127,Belém,PA,32,25.65,28.88,59.31,30.87,0.245,7.49,1121.1,1869654,120.8,94.5,25.49,40.14,26.11,Baixo
MUN_078,Salvador,BA,34,28.14,33.79,61.72,39.64,0.238,7.09,746.2,2771457,157.9,86.2,34.56,50.9,28.14,Baixo
MUN_138,Araguaína,AM,39,28.3,32.74,76.72,75.17,0.435,7.69,1012.0,1389032,447.9,46.4,65.95,80.63,25.37,Baixo
MUN_048,Natal,GO,48,32.37,36.84,61.02,41.57,0.312,3.57,304.9,644047,413.0,54.9,61.19,48.96,38.72,Medio
